time	voltage	temperature	current	pressure
12:41:18	130.93	29.12	0.04	0
12:41:23	130.95	29.12	0.04	0
12:41:28	130.95	29.12	0.04	0
12:41:33	130.93	29.12	0.04	0
12:41:38	130.94	29.12	0.04	0
12:41:43	130.95	29.12	0.04	0
12:41:48	130.94	29.12	0.04	0
12:41:53	130.91	29.12	0.09	0
12:41:58	130.93	29.12	0.1	0
12:42:03	129.88	29.12	2.65	0
12:42:08	129.13	29.12	4.03	0
12:42:13	128.71	29.12	4.66	0
12:42:18	128.59	29.12	4.51	0
12:42:23	128.5	29.12	4.44	0
12:42:28	128.4	29.12	4.47	0
12:42:33	128.3	29.12	4.62	0
12:42:38	128.17	29.12	4.5	0
12:42:43	128.09	29.12	4.44	0
12:42:48	128.0	29.12	4.66	0
12:42:53	127.9	29.12	4.46	0
12:42:58	127.88	29.12	4.62	0
12:43:03	127.8	29.12	4.46	0
12:43:08	127.7	29.12	4.57	0
12:43:13	127.66	29.12	4.43	0
12:43:18	127.56	29.12	4.65	0
12:43:23	127.5	29.12	4.44	0
12:43:28	127.44	29.12	4.48	0
12:43:33	127.38	29.12	4.47	0
12:43:38	127.35	29.12	4.45	0
12:43:43	127.3	29.12	4.6	0
12:43:48	127.21	29.12	4.7	0
12:43:53	127.18	29.12	4.69	0
12:43:58	127.12	29.12	4.47	0
12:44:03	127.03	29.12	4.65	0
12:44:08	127.06	29.12	4.45	0
12:44:13	126.95	29.12	4.68	0
12:44:18	126.94	29.12	4.58	0
12:44:23	126.87	29.12	4.68	0
12:44:28	126.83	29.12	4.48	0
12:44:33	126.78	29.12	4.52	0
12:44:38	126.75	29.12	4.41	0
12:44:43	126.72	29.12	4.64	0
12:44:48	126.66	29.12	4.45	0
12:44:53	126.61	29.12	4.46	0
12:44:58	126.6	29.12	4.53	0
12:45:03	126.56	29.12	4.44	0
12:45:08	126.52	29.12	4.59	0
12:45:13	126.47	29.12	4.6	0
12:45:18	126.45	29.12	4.69	0
12:45:23	125.8	29.12	6.25	0
12:45:28	124.65	29.12	8.42	0
12:45:33	124.49	29.12	8.48	0
12:45:38	124.38	29.12	8.68	0
12:45:43	124.24	29.12	8.46	0
12:45:48	124.16	29.12	8.56	0
12:45:53	124.07	29.12	8.46	0
12:45:58	124.02	29.12	8.65	0
12:46:03	123.93	29.12	8.61	0
12:46:08	123.87	29.12	8.75	0
12:46:13	123.76	29.12	8.67	0
12:46:18	123.71	29.12	8.7	0
12:46:23	123.65	29.12	8.41	0
12:46:28	123.61	29.12	8.66	0
12:46:33	123.58	29.12	8.65	0
12:46:38	123.47	29.12	8.46	0
12:46:43	123.45	29.12	8.74	0
12:46:48	123.41	29.12	8.48	0
12:46:53	123.34	29.12	8.57	0
12:46:58	123.33	29.12	8.54	0
12:47:03	123.37	29.12	8.43	0
12:47:08	123.31	29.12	8.37	0
12:47:13	123.27	29.12	8.35	0
12:47:18	123.23	29.12	8.55	0
12:47:23	123.19	29.12	8.35	0
12:47:28	123.13	29.12	8.44	0
12:47:33	123.12	29.12	8.3	0
12:47:38	123.12	29.12	8.47	0
12:47:43	123.04	29.12	8.52	0
12:47:48	123.03	29.12	8.32	0
12:47:53	122.98	29.12	8.48	0
12:47:58	122.95	29.12	8.39	0
12:48:03	122.94	29.12	8.51	0
12:48:08	122.9	29.12	8.39	0
12:48:13	122.91	29.12	8.42	0
12:48:18	122.87	29.12	8.31	0
12:48:23	122.82	29.12	8.31	0
12:48:28	122.82	29.12	8.54	0
12:48:33	122.73	29.12	8.32	0
12:48:38	122.75	29.12	8.53	0
12:48:43	122.71	29.12	8.5	0
12:48:48	122.68	29.12	8.47	0
12:48:53	122.71	29.12	8.57	0
12:48:58	122.66	29.12	8.48	0
12:49:03	122.65	29.12	8.32	0
12:49:08	122.61	29.12	8.28	0
12:49:13	122.61	29.12	8.54	0
12:49:18	122.58	29.12	8.38	0
12:49:23	122.56	29.12	8.38	0
12:49:28	122.56	29.12	8.49	0
12:49:33	122.51	29.12	8.32	0
12:49:38	122.5	29.12	8.31	0
12:49:43	122.48	29.12	8.43	0
12:49:48	122.48	29.12	8.4	0
12:49:53	122.45	29.12	8.3	0
12:49:58	122.44	29.12	8.46	0
12:50:03	122.42	29.12	8.51	0
12:50:08	122.43	29.12	8.4	0
12:50:13	122.42	29.12	8.3	0
12:50:18	122.36	29.12	8.45	0
12:50:23	122.4	29.12	8.28	0
12:50:28	122.43	29.12	8.07	0
12:50:33	122.45	29.12	8.3	0
12:50:38	122.39	29.51	8.24	0
12:50:43	122.36	29.51	8.31	0
12:50:48	122.34	29.51	8.19	0
12:50:53	122.36	29.51	8.27	0
12:50:58	122.34	29.51	8.25	0
12:51:03	122.34	29.51	8.27	0
12:51:08	122.32	29.51	8.28	0
12:51:13	122.32	29.51	8.35	0
12:51:18	122.29	29.51	8.21	0
12:51:23	122.28	29.51	8.35	0
12:51:28	122.27	29.51	8.14	0
12:51:33	122.24	29.51	8.21	0
12:51:38	122.27	29.51	8.08	0
12:51:43	122.25	29.51	8.27	0
12:51:48	122.26	29.51	8.28	0
12:51:53	122.24	29.51	8.11	0
12:51:58	122.17	29.51	8.36	0
12:52:03	122.18	29.51	8.31	0
12:52:08	122.18	29.51	8.14	0
12:52:13	122.19	29.51	8.32	0
12:52:18	122.15	29.51	8.28	0
12:52:23	122.16	29.51	8.06	0
12:52:28	122.13	29.51	8.27	0
12:52:33	122.1	29.51	8.18	0
12:52:38	122.1	29.51	8.34	0
12:52:43	122.12	29.51	8.26	0
12:52:48	122.11	29.51	8.3	0
12:52:53	122.14	29.51	8.12	0
12:52:58	122.08	29.51	8.27	0
12:53:03	122.08	29.51	8.17	0
12:53:08	122.07	29.51	8.34	0
12:53:13	122.02	29.51	8.32	0
12:53:18	122.04	29.51	8.13	0
12:53:23	122.01	29.51	8.17	0
12:53:28	122.03	29.51	8.08	0
12:53:33	122.02	29.51	8.15	0
12:53:38	122.01	29.51	8.32	0
12:53:43	121.97	29.51	8.25	0
12:53:48	121.97	29.51	8.27	0
12:53:53	121.98	29.51	8.16	0
12:53:58	121.97	29.51	8.29	0
12:54:03	121.96	29.51	8.23	0
12:54:08	122.01	29.51	8.09	0
12:54:13	121.94	29.51	8.08	0
12:54:18	121.96	29.51	8.3	0
12:54:23	121.93	29.9	8.12	0
12:54:28	121.94	29.9	8.09	0
12:54:33	121.9	29.9	8.31	0
12:54:38	121.92	29.9	8.26	0
12:54:43	121.93	29.9	8.29	0
12:54:48	121.87	29.9	8.29	0
12:54:53	121.88	29.9	8.38	0
12:54:58	121.85	29.9	8.14	0
12:55:03	121.88	29.9	8.28	0
12:55:08	121.86	29.9	8.13	0
12:55:13	121.9	29.9	8.32	0
12:55:18	121.89	29.9	8.09	0
12:55:23	121.88	29.9	8.16	0
12:55:28	121.8	29.9	8.17	0
12:55:33	121.83	29.9	8.35	0
12:55:38	121.81	29.9	8.17	0
12:55:43	121.81	29.9	8.36	0
12:55:48	121.82	29.9	8.23	0
12:55:53	121.79	29.9	8.33	0
12:55:58	121.77	29.9	8.17	0
12:56:03	121.76	29.9	8.21	0
12:56:08	121.75	29.9	8.13	0
12:56:13	121.76	29.9	8.26	0
12:56:18	121.75	29.9	8.15	0
12:56:23	121.75	29.9	8.32	0
12:56:28	121.71	29.9	8.14	0
12:56:33	121.74	29.9	8.29	0
12:56:38	121.75	29.9	8.09	0
12:56:43	121.72	29.9	8.29	0
12:56:48	121.73	29.9	8.17	0
12:56:53	121.72	29.9	8.1	0
12:56:58	121.72	29.9	8.27	0
12:57:03	121.73	29.9	8.27	0
12:57:08	121.72	29.9	8.17	0
12:57:13	121.71	29.9	8.25	0
12:57:18	121.68	29.9	8.22	0
12:57:23	121.7	29.9	8.07	0
12:57:28	121.69	29.9	8.25	0
12:57:33	121.67	29.9	8.38	0
12:57:38	121.66	29.9	8.35	0
12:57:43	121.62	30.29	8.18	0
12:57:48	121.6	30.29	8.1	0
12:57:53	121.64	30.29	8.29	0
12:57:58	121.65	30.29	8.22	0
12:58:03	121.64	30.29	8.08	0
12:58:08	121.62	30.29	8.33	0
12:58:13	121.63	30.29	8.15	0
12:58:18	121.59	30.29	8.16	0
12:58:23	121.57	30.29	8.32	0
12:58:28	121.64	30.29	8.11	0
12:58:33	121.56	30.29	8.23	0
12:58:38	121.57	30.29	8.1	0
12:58:43	121.59	30.29	8.09	0
12:58:48	121.59	30.29	8.21	0
12:58:53	121.53	30.29	8.29	0
12:58:58	121.52	30.29	8.36	0
12:59:03	121.51	30.29	8.13	0
12:59:08	121.53	30.29	8.23	0
12:59:13	121.56	30.29	8.07	0
12:59:18	121.49	30.29	8.25	0
12:59:23	121.53	30.29	8.13	0
12:59:28	121.53	30.29	8.2	0
12:59:33	121.53	30.29	8.05	0
12:59:38	121.44	30.29	8.4	0
12:59:43	121.46	30.29	8.3	0
12:59:48	121.48	30.29	8.13	0
12:59:53	121.41	30.29	8.31	0
12:59:58	121.46	30.29	8.26	0
13:00:03	121.41	30.29	8.32	0
13:00:08	121.4	30.29	8.32	0
13:00:13	121.41	30.29	8.29	0
13:00:18	121.4	30.29	8.27	0
13:00:23	121.38	30.29	8.15	0
13:00:28	121.39	30.29	8.16	0
13:00:33	121.39	30.29	8.15	0
13:00:38	121.36	30.29	8.11	0
13:00:43	121.33	30.29	8.26	0
13:00:48	121.34	30.29	8.24	0
13:00:53	121.33	30.29	8.34	0
13:00:58	121.3	30.69	8.21	0
13:01:03	121.29	30.69	8.14	0
13:01:08	121.32	30.69	8.2	0
13:01:13	121.3	30.69	8.16	0
13:01:18	121.29	30.69	8.15	0
13:01:23	121.24	30.69	8.25	0
13:01:28	121.28	30.69	8.13	0
13:01:33	121.27	30.69	8.13	0
13:01:38	121.2	30.69	8.14	0
13:01:43	121.19	30.69	8.38	0
13:01:48	121.26	30.69	8.2	0
13:01:53	121.21	30.69	8.17	0
13:01:58	121.18	30.69	8.22	0
13:02:03	121.2	30.69	8.16	0
13:02:08	121.17	30.69	8.11	0
13:02:13	121.16	30.69	8.28	0
13:02:18	121.14	30.69	8.11	0
13:02:23	121.12	30.69	8.26	0
13:02:28	121.13	30.69	8.24	0
13:02:33	121.07	30.69	8.14	0
13:02:38	121.06	30.69	8.11	0
13:02:43	121.1	30.69	8.19	0
13:02:48	121.09	30.69	8.1	0
13:02:53	121.04	30.69	8.28	0
13:02:58	121.07	30.69	8.29	0
13:03:03	121.03	30.69	8.27	0
13:03:08	121.03	30.69	8.28	0
13:03:13	120.98	30.69	8.16	0
13:03:18	121.02	30.69	8.21	0
13:03:23	120.98	30.69	8.15	0
13:03:28	120.96	30.69	8.21	0
13:03:33	120.96	30.69	8.08	0
13:03:38	120.92	30.69	8.36	0
13:03:43	120.97	30.69	8.2	0
13:03:48	120.91	30.69	8.14	0
13:03:53	120.89	31.08	8.29	0
13:03:58	120.9	31.08	8.12	0
13:04:03	120.85	31.08	8.33	0
13:04:08	120.81	31.08	8.2	0
13:04:13	120.87	31.08	8.09	0
13:04:18	120.82	31.08	8.38	0
13:04:23	120.79	31.08	8.3	0
13:04:28	120.82	31.08	8.18	0
13:04:33	120.77	31.08	8.29	0
13:04:38	120.74	31.08	8.36	0
13:04:43	120.73	31.08	8.16	0
13:04:48	120.7	31.08	8.26	0
13:04:53	120.74	31.08	8.26	0
13:04:58	120.72	31.08	8.25	0
13:05:03	120.69	31.08	8.12	0
13:05:08	120.67	31.08	8.24	0
13:05:13	120.66	31.08	8.12	0
13:05:18	120.6	31.08	8.09	0
13:05:23	120.63	31.08	8.13	0
13:05:28	120.6	31.08	8.11	0
13:05:33	120.56	31.08	8.13	0
13:05:38	120.59	31.08	8.12	0
13:05:43	120.54	31.08	8.21	0
13:05:48	120.53	31.08	8.11	0
13:05:53	120.51	31.08	8.11	0
13:05:58	120.52	31.08	8.23	0
13:06:03	120.49	31.08	8.08	0
13:06:08	120.42	31.08	8.1	0
13:06:13	120.36	31.08	8.4	0
13:06:18	120.42	31.08	8.13	0
13:06:23	120.37	31.08	8.24	0
13:06:28	120.36	31.08	8.16	0
13:06:33	120.33	31.08	8.32	0
13:06:38	120.34	31.08	8.23	0
13:06:43	120.3	31.47	8.32	0
13:06:48	120.3	31.47	8.33	0
13:06:53	120.26	31.47	8.37	0
13:06:58	120.24	31.47	8.27	0
13:07:03	120.23	31.47	8.34	0
13:07:08	120.18	31.47	8.37	0
13:07:13	120.12	31.47	8.18	0
13:07:18	120.17	31.47	8.35	0
13:07:23	120.14	31.47	8.24	0
13:07:28	120.13	31.47	8.31	0
13:07:33	120.07	31.47	8.21	0
13:07:38	120.05	31.47	8.3	0
13:07:43	120.04	31.47	8.15	0
13:07:48	120.01	31.47	8.2	0
13:07:53	119.99	31.47	8.37	0
13:07:58	119.95	31.47	8.36	0
13:08:03	119.93	31.47	8.29	0
13:08:08	121.83	31.47	1.6	0
13:08:13	123.45	31.47	0.12	0
13:08:18	123.73	31.47	0.05	0
13:08:23	123.85	31.47	0.05	0
13:08:28	124.03	31.47	0.05	0
13:08:33	124.12	31.47	0.05	0
13:08:38	124.25	31.47	0.05	0
13:08:43	124.34	31.47	0.03	0
13:08:48	124.4	31.47	0.02	0
